,Symptom,Curated HPO
135,Symptom 135,HP:0008069
136,Symptom 136,HP:0100006
137,Symptom 137,HP:0001909
138,Symptom 138,HP:0002960
139,Symptom 139,HP:0002721
140,Symptom 140,HP:0012647
141,Symptom 141,HP:0002719
142,Symptom 142,HP:0001370
143,Symptom 143,HP:0000014
144,Symptom 144,HP:0012211
145,Symptom 145,HP:0012210
146,Symptom 146,HP:0030012
147,Symptom 147,HP:0000080
148,Symptom 148,HP:0000729
149,Symptom 149,HP:0007302
150,Symptom 150,HP:0100753
151,Symptom 151,HP:0000733
152,Symptom 152,HP:0006919
153,Symptom 153,HP:0000739
154,Symptom 154,HP:0000716
155,Symptom 155,HP:0000746
156,Symptom 156,HP:0000738
157,Symptom 157,HP:0000722
158,Symptom 158,HP:0000709
159,Symptom 159,HP:0000736
160,Symptom 160,HP:0034436
161,Symptom 161,HP:0001344
162,Symptom 162,HP:5200029
163,Symptom 163,HP:0000712
164,Symptom 164,HP:0000752
165,Symptom 165,HP:0100710
166,Symptom 166,HP:0025160
167,Symptom 167,HP:0100716
168,Symptom 168,HP:0000598
169,Symptom 169,HP:0000405
170,Symptom 170,HP:0000407
171,Symptom 171,HP:0000410
172,Symptom 172,HP:0000360
173,Symptom 173,HP:0010780
174,Symptom 174,HP:0002321
175,Symptom 175,HP:0100021
176,Symptom 176,HP:0100543
177,Symptom 177,HP:0002315
178,Symptom 178,HP:0011443
179,Symptom 179,HP:0002353
180,Symptom 180,HP:0001276
181,Symptom 181,HP:0001252
182,Symptom 182,HP:0002354
183,Symptom 183,HP:0100022
184,Symptom 184,HP:0001300
185,Symptom 185,HP:0001250
186,Symptom 186,HP:0003002
187,Symptom 187,HP:0100615
188,Symptom 188,HP:0010784
189,Symptom 189,HP:0032241
190,Symptom 190,HP:0012125
191,Symptom 191,HP:0100526
192,Symptom 192,HP:0002894
193,Symptom 193,HP:0009725
194,Symptom 194,HP:0012056
195,Symptom 195,HP:0007018
196,Symptom 196,HP:0000739
197,Symptom 197,HP:0000717
198,Symptom 198,HP:0000716
199,Symptom 199,HP:0001328
200,Symptom 200,HP:0001249
201,Symptom 201,HP:0100021
202,Symptom 202,HP:0000365
203,Symptom 203,HP:0002076
204,Symptom 204,HP:0100022
205,Symptom 205,HP:0002360
206,Symptom 206,HP:0000505
207,Symptom 207,HP:0000256
208,Symptom 208,HP:0000252
209,Symptom 209,HP:0000267
210,Symptom 210,HP:0033454
211,Symptom 211,HP:0004887
212,Symptom 212, HP:0000238
213,Symptom 213,HP:0002374
214,Symptom 214,HP:0002360
215,Symptom 215,HP:0031354
216,Symptom 216,HP:0002360
217,Symptom 217,HP:0002360
218,Symptom 218,HP:0025236
219,Symptom 219,HP:0025234
220,Symptom 220,HP:0010535
221,Symptom 221,HP:0002329
